date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:03:41	556/556	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:8ed6aeb2ad41e1d8fa7b757e6bb8fc97%22	https://drinkwildwonder.com/robots.txt		(from )
09:03:42	355190/355190	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:04d6cb5e3061925eae0a65b3098963a4%22	https://drinkwildwonder.com/	C:/My%20Web%20Sites/Project/drinkwildwonder.com/index.html	(from )
09:03:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2019%20Jan%202025%2003:33:42%20GMT	http://drinkwildwonder.com/cdn/shop/files/Strawberry-01_32x32.png?v=1662010068	C:/My%20Web%20Sites/Project/drinkwildwonder.com/cdn/shop/files/Strawberry-01_32x32.06eaa.delayed	(from https://drinkwildwonder.com/)
09:03:43	2870/2870	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Sep%202024%2003:32:14%20GMT	https://drinkwildwonder.com/cdn/shop/files/Strawberry-01_32x32.png?v=1662010068	C:/My%20Web%20Sites/Project/drinkwildwonder.com/cdn/shop/files/Strawberry-01_32x326eaa.png	(from https://drinkwildwonder.com/)
09:03:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2019%20Jan%202025%2003:33:44%20GMT	http://drinkwildwonder.com/cdn/shop/files/wildwonder_lineup.png?v=1691613519	C:/My%20Web%20Sites/Project/drinkwildwonder.com/cdn/shop/files/wildwonder_lineup5ef5.png	(from https://drinkwildwonder.com/)
09:03:45	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2019%20Jan%202025%2003:33:44%20GMT	http://drinkwildwonder.com/cdn/fonts/tenor_sans/tenorsans_n4.ef7b684f1cfa0d3a90338d1fa5f36acdf7889632.woff2?h1=ZHJpbmt3aWxkd29uZGVyLmNvbQ&h2=ZHJpbmt3aWxkd29uZGVyLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=c8def6b38447fcf914d19bc3b1059babdeb3578cddf43ec2add0d1839cd07f4b	C:/My%20Web%20Sites/Project/drinkwildwonder.com/cdn/fonts/tenor_sans/tenorsans_n4.ef7b684f1cfa0d3a90338d1fa5f36acdf78896325d68.woff2	(from https://drinkwildwonder.com/)
09:03:45	1479445/1479445	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Sep%202024%2006:47:50%20GMT	https://drinkwildwonder.com/cdn/shop/files/wildwonder_lineup.png?v=1691613519	C:/My%20Web%20Sites/Project/drinkwildwonder.com/cdn/shop/files/wildwonder_lineup5ef5.png	(from https://drinkwildwonder.com/)
09:03:47	24292/24292	---M--	200	added ('OK')	font/woff2	date:Thu,%2028%20Nov%202024%2008:05:19%20GMT	https://drinkwildwonder.com/cdn/fonts/tenor_sans/tenorsans_n4.ef7b684f1cfa0d3a90338d1fa5f36acdf7889632.woff2?h1=ZHJpbmt3aWxkd29uZGVyLmNvbQ&h2=ZHJpbmt3aWxkd29uZGVyLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=c8def6b38447fcf914d19bc3b1059babdeb3578cddf43ec2add0d1839cd07f4b	C:/My%20Web%20Sites/Project/drinkwildwonder.com/cdn/fonts/tenor_sans/tenorsans_n4.ef7b684f1cfa0d3a90338d1fa5f36acdf78896325d68.woff2	(from https://drinkwildwonder.com/)
09:03:47	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2019%20Jan%202025%2003:33:46%20GMT	http://drinkwildwonder.com/cdn/fonts/tenor_sans/tenorsans_n4.514efc84ed8364b455bb5dd12e65583fe93ccf0f.woff?h1=ZHJpbmt3aWxkd29uZGVyLmNvbQ&h2=ZHJpbmt3aWxkd29uZGVyLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=92968a98220c79422dea2e019cc9cc8102943fa8218d3f1f7d4d30dcf571ee83	C:/My%20Web%20Sites/Project/drinkwildwonder.com/cdn/fonts/tenor_sans/tenorsans_n4.514efc84ed8364b455bb5dd12e65583fe93ccf0fcf1e.woff	(from https://drinkwildwonder.com/)
09:03:47	24284/24284	---M--	200	added ('OK')	font/woff2	date:Sat,%2030%20Nov%202024%2010:42:17%20GMT	https://drinkwildwonder.com/cdn/fonts/tenor_sans/tenorsans_n4.514efc84ed8364b455bb5dd12e65583fe93ccf0f.woff?h1=ZHJpbmt3aWxkd29uZGVyLmNvbQ&h2=ZHJpbmt3aWxkd29uZGVyLmFjY291bnQubXlzaG9waWZ5LmNvbQ&hmac=92968a98220c79422dea2e019cc9cc8102943fa8218d3f1f7d4d30dcf571ee83	C:/My%20Web%20Sites/Project/drinkwildwonder.com/cdn/fonts/tenor_sans/tenorsans_n4.514efc84ed8364b455bb5dd12e65583fe93ccf0fcf1e.woff	(from https://drinkwildwonder.com/)
